produksi padi,luas lahan,produktivitas,NTP,Penduduk
1582393,313649,44.92,106.78,4494410
3582302,468724,47.47,98.47,12982204
2211248,229693,48.02,98.11,4846909
574864,115961,36.83,110.52,5538367
628828,112434,40.86,98.11,3092265
3272451,611386,42.53,114.23,7450394
516869,92976,38.68,108.92,1715518
2807676,345437,47.54,123.2,7608405
22259,4056,27.21,85.55,1223296
1246,442,31.46,65.18,1679163
11164,1312,55.4,97.05,9607787
11737070,930268,57.6,91.79,43053732
10110830,962471,56.13,96.77,32382657
823887,55523,56.02,111.6,3457491
11643773,1107276,59.29,94.6,37476757
2048047,196744,50.39,100.04,10632166
869161,81425,57.11,94.65,3890757
1774499,238619,47.41,90.54,4500212
555493,142479,31.8,97.74,4683827
1343888,307016,31.37,94.58,4395983
650416,175633,26.27,108.87,2212089
1842089,436318,39.1,104.35,3626616
588879,82796,39.25,89.75,3553143
584030,52789,48.76,97.57,2270596
957108,136241,45.88,85.13,2635009
4382443,572089,49.44,98.86,8034776
454644,83356,42.19,86.63,2232586
253563,29566,55.2,88.19,1040164
362900,59476,47.8,92.62,1158651
83109,11451,41.08,90.92,1533506
55401,9478,34.47,92.3,1038087
34254,7711,36.19,88.74,760422
102610,27757,38.45,100.49,2833381
